player,firstname,lastname,ht,wt,b,t,pos1,pos2,debut,final,birth,death
Halfacre,NA,Halfacre,,,,,P,NA,1908,1908,,
Blainey Hall,Blainey,Hall,"5'7""",175,R,R,LF,NA,1914,1925,"1/17/1889								 (Baltimore, MD)","3/1975								 (Baltimore, MD)"
Elbert Hall,Elbert,Hall,,,,,1B,NA,1906,1906,"5/19/1882								 (Edina, MO)","1/17/1935								 (Des Moines, IA)"
Joseph Hall,Joseph,Hall,,,,,1B,NA,1887,1887,,
Perry Hall,Perry,Hall,,,R,R,RF,3B,1921,1943,"4/18/1898								 (Hogansville, GA)","2/3/1993								 (Chicago, IL)"
Sell Hall,Sell,Hall,"5'11""",172,,R,P,NA,1917,1921,"6/15/1888								 (Pittsburgh, PA)","2/13/1951								 (New York, NY)"
Hamilton,NA,Hamilton,,,,,RF,NA,1910,1913,,
Eppie Hamilton,Eppie,Hamilton,,,R,R,C,1B,1923,1937,1900 (birthplace unknown),
J. H. Hamilton,J. H.,Hamilton,,,,R,2B,NA,1924,1927,,
L. Hamilton,L.,Hamilton,,,R,R,3B,NA,1923,1924,,
Sunny Jim Hamilton,Sunny,Hamilton,,,,,P,NA,1911,1911,,
Ted Hamilton,Ted,Hamilton,,,,,P,NA,1921,1924,,
Don Hammond,Don,Hammond,,,R,R,3B,NA,1921,1926,,
Lewis Hampton,Lewis,Hampton,"5'10""",180,R,R,P,NA,1921,1927,1901 (birthplace unknown),
Art Hancock,Art,Hancock,"6'3""",189,,R,LF,NA,1926,1935,"1/28/1905								 (Lexington, MO)",
Charlie Hancock,Charlie,Hancock,"5'11""",203,,R,C,NA,1921,1928,"9/15/1902								 (Lexington, MO)","7/9/1974								 (Sioux City, IA)"
Bill Handy,Bill,Handy,"5'6""",175,,R,2B,NA,1910,1922,"11/1/1888								 (New Orleans, LA)","4/8/1945								 (New Orleans, LA)"
Haney,NA,Haney,,,,,P,NA,1915,1915,,
Jack Hannibal,Jack,Hannibal,"5'9""",159,,,RF,NA,1913,1916,"3/20/1891								 (Campbellsville, KY)","8/24/1949								 (Indianapolis, IN)"
Leo Hannibal,Leo,Hannibal,"6'2""",192,,R,P,NA,1932,1938,"2/27/1911								 (Indianapolis, IN)","8/30/1977								 (Indianapolis, IN)"
Henry Hannon,Henry,Hannon,,,,R,LF,NA,1908,1914,"8/21/1882								 (Montgomery, AL)","12/10/1958								 (Montgomery, AL)"
Hardeman,NA,Hardeman,,,,,LF,NA,1911,1911,,
Halley Harding,Halley,Harding,"5'9""",180,B,R,SS,2B,1926,1937,"11/13/1904								 (Wichita, KS)","4/1/1967								 (Chicago, IL)"
Hardison,NA,Hardison,,,,,CF,NA,1906,1906,,
Arthur Hardy,Arthur,Hardy,"6'1""",208,,R,P,NA,1911,1911,"2/17/1891								 (Topeka, KS)","9/1980								 (Buffalo, NY)"
Paul Hardy,Paul,Hardy,"5'10""",162,R,R,C,NA,1932,1943,"9/17/1910								 (Meridian, MS)","8/28/1979								 (Chicago, IL)"
W. Hardy,W.,Hardy,,,,,LF,NA,1911,1911,,
Hargrove,NA,Hargrove,,,,,CF,NA,1914,1914,,
Harney,NA,Harney,,,,,SS,NA,1929,1929,,
George Harney,George,Harney,"5'11""",180,R,R,P,NA,1923,1931,"6/1/1890								 (Bessemer, AL)","5/5/1959								 (Norwood Park, IL)"
Harper,NA,Harper,,,,,2B,NA,1920,1920,,
Chick Harper,Chick,Harper,,,,,RF,NA,1911,1925,,
John Harper,John,Harper,,,,,P,NA,1922,1925,,
Walter Harper,Walter,Harper,,,,R,C,NA,1923,1931,,
Harris,NA,Harris,,,,,RF,NA,1919,1919,,
Harris,NA,Harris,,,,,P,NA,1910,1910,,
Harris,NA,Harris,,,,,SS,NA,1906,1906,,
Andy Harris,Andy,Harris,"6'2""",195,,R,3B,NA,1917,1927,"7/27/1896								 (St. Helena, NC)","10/2/1957								 (New York, NY)"
Ben Harris,Ben,Harris,,,,,P,NA,1921,1922,,
Bill Harris,Bill,Harris,"5'10""",167,,R,3B,NA,1931,1937,"12/25/1908								 (Calhoun, AL)",
Bill Harris,Bill,Harris,,,,,C,NA,1929,1931,,
Curtis Harris,Curtis,Harris,"5'10""",172,R,R,1B,NA,1931,1940,"2/14/1905								 (Washington County, TX)","8/3/1947								 (Los Angeles, CA)"
George Harris,George,Harris,,,,,2B,NA,1932,1932,,
Henry Harris,Henry,Harris,,,,,SS,NA,1924,1932,,
Horace Harris,Horace,Harris,"5'4""",133,,R,CF,NA,1932,1932,"5/11/1911								 (Mathews, AL)","7/1986								 (Montgomery, AL)"
Horace Harris,Horace,Harris,,,,,C,NA,1908,1908,,
James Harris,James,Harris,,,,,RF,NA,1887,1887,,
John Harris,John,Harris,,,,,P,NA,1921,1922,,
Mo Harris,Mo,Harris,"5'11""",180,,R,2B,NA,1918,1931,"3/5/1898								 (Allegheny City, PA)","7/25/1964								 (Pittsburgh, PA)"
Nate Harris,Nate,Harris,,,R,R,2B,NA,1902,1913,"1880								 (Middleport, OH)",
Neal Harris,Neal,Harris,"5'8""",160,R,,LF,NA,1931,1931,"5/14/1906								 (Calhoun, AL)","1/1972								 (Pittsburgh, PA)"
Richard Harris,Richard,Harris,,,,R,2B,NA,1934,1934,,
Sammy Harris,Sammy,Harris,,,,,CF,NA,1932,1932,,
Sonny Harris,Sonny,Harris,,,,,2B,LF,1936,1942,,
Vic Harris,Vic,Harris,"5'10""",168,L,R,LF,NA,1922,1947,"6/10/1905								 (Calhoun, AL)","2/23/1978								 (Los Angeles, CA)"
Virgil Harris,Virgil,Harris,,165,B,R,P,NA,1936,1936,"10/19/1914								 (Kent, AL)",
Win Harris,Win,Harris,"5'9""",151,L,R,1B,NA,1918,1924,"3/27/1891								 (Charlottesville, VA)","1/23/1939								 (Pittsburgh, PA)"
Abe Harrison,Abe,Harrison,,,R,R,SS,NA,1887,1897,"3/4/1867								 (Norristown, PA)","5/1/1932								 (Hamilton, NJ)"
Earl Harrison,Earl,Harrison,"5'11""",178,,,P,NA,1927,1930,"3/24/1900								 (St. Louis, MO)",
Ed Harrison,Ed,Harrison,,,,,1B,NA,1914,1919,,
Bill Harvey,Bill,Harvey,"5'8""",175,L,L,P,NA,1932,1946,"3/23/1908								 (Clarksdale, MS)","3/3/1989								 (Baltimore, MD)"
Lefty Harvey,Lefty,Harvey,,,L,L,P,NA,1912,1921,"1890								 (Nashville, TN)",
Hastings,NA,Hastings,,,,,P,NA,1928,1928,,
Rufus Hatchett,Rufus,Hatchett,"5'9""",150,,R,2B,NA,1913,1915,"11/8/1888								 (New York, NY)",
Son Hatten,Son,Hatten,,,,,3B,NA,1911,1911,,
Willie Hawk,Willie,Hawk,,,,,C,NA,1905,1905,,
Lemuel Hawkins,Lemuel,Hawkins,"5'10""",185,L,R,1B,NA,1921,1928,"10/2/1895								 (Macon, GA)","8/10/1934								 (Chicago, IL)"
Robert Hawkins,Robert,Hawkins,"5'9""",158,,,SS,LF,1932,1938,"3/18/1905								 (Kansas City, MO)",
Sam Hawkins,Sam,Hawkins,,,,,RF,NA,1913,1914,,
Hay,NA,Hay,,,,,-,NA,1920,1920,,
Hayes,NA,Hayes,,,,,3B,NA,1914,1914,,
Hayes,NA,Hayes,,,,,P,NA,1928,1928,,
Buddy Hayes,Buddy,Hayes,"5'4""",163,R,R,C,NA,1916,1923,"3/7/1894								 (Nashville, TN)",
Bun Hayes,Bun,Hayes,"5'11""",170,R,R,P,NA,1928,1935,"8/2/1903								 (Louisburg, NC)","11/29/1969								 (Louisburg, NC)"
Johnny Hayes,Johnny,Hayes,"5'10""",195,L,R,C,NA,1934,1948,"4/27/1910								 (Independence, MO)","11/16/1988								 (Auburn Park, IL)"
Sy Hayman,Sy,Hayman,,,,,P,NA,1908,1910,"2/4/1885								 (Salisbury, MD)","7/4/1910								 (Chester, PA)"
Haynes,NA,Haynes,,,,,-,NA,1936,1936,,
Haynes,NA,Haynes,,,,,LF,NA,1905,1905,,
E. W. Haynes,E. W.,Haynes,,,,,P,NA,1908,1908,,
Esco Haynes,Esco,Haynes,,,,,C,NA,1921,1924,,
Willie Haynes,Willie,Haynes,"6'1""",167,,,P,NA,1920,1932,"1/25/1901								 (Kaufman, TX)","9/9/1981								 (Kerrville, TX)"
Haywood,NA,Haywood,,,,,3B,NA,1887,1887,,
Heath,NA,Heath,,,,,RF,NA,1914,1922,,
Hebert,NA,Hebert,,,,,-,NA,1932,1932,,
Mack Heller,Mack,Heller,,,,,1B,NA,1932,1932,1910 (birthplace unknown),"10/18/1940								 (Caddo Parish, LA)"
Henderson,NA,Henderson,,,,,1B,NA,1887,1887,,
Henderson,NA,Henderson,,,,,P,NA,1927,1927,,
Henderson,NA,Henderson,,,,,SS,NA,1931,1931,,
Henderson,NA,Henderson,,,,,P,NA,1907,1907,,
Bunk Henderson,Bunk,Henderson,,,,,C,NA,1925,1925,,
Curtis Henderson,Curtis,Henderson,"5'11""",180,R,R,SS,NA,1936,1946,"11/12/1911								 (Shreveport, LA)","1/12/1982								 (New York, NY)"
Henry Henderson,Henry,Henderson,"6'6""",196,,,1B,NA,1932,1932,"5/1/1905								 (Hamilton County, TN)","8/8/1980								 (Chattanooga, TN)"
Leonard Henderson,Leonard,Henderson,"5'11""",185,,R,3B,NA,1930,1932,"1/22/1901								 (Hamilton County, TN)","3/1979								 (Jackson, MS)"
Rats Henderson,Rats,Henderson,"5'7""",180,R,R,P,NA,1922,1931,"8/29/1896								 (Henrico County, VA)","9/8/1988								 (Richmond, VA)"
Rube Henderson,Rube,Henderson,,,R,R,RF,NA,1921,1923,"8/23/1894								 (Wilson County, VA)","1/1978								 (Charlottesville, VA)"
O. T. Hendricks,O. T.,Hendricks,,,,,P,NA,1917,1917,"12/25/1893								 (Longview, TX)","11/1/1930								 (Massillon, OH)"
Hendrickson,NA,Hendrickson,,,,,P,NA,1920,1922,,
Scottie Hendrix,Scottie,Hendrix,,,,R,P,NA,1918,1918,"4/3/1883								 (Sherburne, KY)","8/21/1982								 (Chicago, IL)"
Charlie Henry,Charlie,Henry,,,,,P,NA,1922,1929,"3/24/1900								 (Knoxville, TN)","5/25/1972								 (Louisville, KY)"
Otis Henry,Otis,Henry,"6'1""",186,R,R,3B,LF,1932,1937,"4/25/1903								 (Daingerfield, TX)","2/27/1975								 (Gladewater, TX)"
Logan Hensley,Logan,Hensley,"5'9""",168,R,R,P,NA,1922,1939,"2/16/1900								 (Pacific, MO)","11/4/1971								 (Kansas City, MO)"
Alex Herman,Alex,Herman,"5'9""",180,,R,RF,NA,1932,1932,"5/10/1899								 (Mobile, AL)","12/13/1975								 (Mobile, AL)"
Cheo Hernández,Cheo,Hernández,"5'8""",,,R,P,NA,1920,1920,"1894								 (Havana, Cuba)",
Desiderio Hernández,Desiderio,Hernández,"5'7""",,R,R,1B,NA,1916,1916,"1887								 (Havana, Cuba)",
Ramón Hernández,Ramón,Hernández,,,,R,3B,NA,1929,1930,"1907								 (Havana, Cuba)",
Ricardo Hernández,Ricardo,Hernández,"5'11""",,R,R,3B,NA,1908,1914,"1885								 (Havana, Cuba)",
Paíto Herrera,Paíto,Herrera,"5'6""",147,R,R,3B,NA,1915,1928,"12/19/1892								 (Havana, Cuba)","2/3/1978								 (Havana, Cuba)"
Mose Herring,Mose,Herring,"5'7""",,,R,3B,NA,1920,1920,"8/24/1895								 (Abbeville, SC)","1/12/1931								 (St. Louis, MO)"
Babe Herron,Babe,Herron,,,,,CF,NA,1907,1913,"11/11/1882								 (Indianapolis, IN)",
Joe Hewitt,Joe,Hewitt,"5'7""",140,L,R,SS,NA,1911,1932,"8/7/1885								 (New Market, AL)","4/2/1948								 (St. Louis, MO)"
Charles Heywood,Charles,Heywood,,,,,P,NA,1925,1926,,
Fred Hicks,Fred,Hicks,,,,,SS,NA,1909,1920,"5/16/1888								 (Kansas City, MO)","10/20/1950								 (Kansas City, MO)"
Wesley Hicks,Wesley,Hicks,,,,,LF,NA,1927,1929,,
Heliodoro Hidalgo,Heliodoro,Hidalgo,"5'6""",,R,R,CF,NA,1905,1913,"1881								 (Matanzas, Cuba)",
Robert Higbee,Robert,Higbee,,,,,LF,NA,1908,1913,,
Hill,NA,Hill,,,,,1B,NA,1906,1906,,
Hill,NA,Hill,,,,,-,NA,1920,1920,,
Hill,NA,Hill,,,,,CF,NA,1899,1899,,
Charley Hill,Charley,Hill,,,,L,RF,NA,1912,1924,,
Fred Hill,Fred,Hill,,,R,R,3B,NA,1923,1923,1900 (birthplace unknown),
Johnny Hill,Johnny,Hill,,,R,R,3B,NA,1900,1910,1876 (birthplace unknown),"9/20/1922								 (Philadelphia, PA)"
Johnson Hill,Johnson,Hill,"5'7""",151,,R,3B,NA,1910,1928,"9/21/1890								 (Waxahachie, TX)","4/22/1960								 (Amarillo, TX)"
Lee Hill,Lee,Hill,,,,R,2B,NA,1915,1920,1895 (birthplace unknown),
Pete Hill,Pete,Hill,"5'8""",170,L,R,CF,NA,1904,1925,"10/12/1882								 (Buena, VA)","12/19/1951								 (Buffalo, NY)"
Charlie Hilton,Charlie,Hilton,,,,,2B,NA,1932,1932,1904 (birthplace unknown),
John Hines,John,Hines,"5'6""",158,R,R,RF,NA,1924,1934,"2/4/1901								 (Birmingham, AL)","4/15/1988								 (Chicago, IL)"
Hoard,NA,Hoard,,,,,P,NA,1921,1921,,
Baby Hobson,Baby,Hobson,,,R,R,2B,NA,1922,1923,,
Bruce Hocker,Bruce,Hocker,,,,,1B,NA,1913,1920,"8/6/1894								 (Jeffersonville, IN)","8/1975								 (Baltimore, MD)"
Little Hocker,Little,Hocker,,,,,P,NA,1915,1915,,
Bill Hodge,Bill,Hodge,,,,,P,NA,1925,1925,,
George Holcomb,George,Holcomb,"6'2""",187,,R,P,NA,1923,1923,"4/29/1900								 (Elkhorn, WV)","11/16/1983								 (Cleveland, OH)"
Holcombe,NA,Holcombe,,,,,RF,NA,1887,1887,,
Holden,NA,Holden,,,,,CF,NA,1911,1911,,
Bill Holland,Bill,Holland,"5'9""",180,B,R,P,NA,1919,1941,"2/28/1901								 (Alexandria, IN)","12/3/1973								 (New York, NY)"
Billy Holland,Billy,Holland,,,,L,CF,NA,1894,1907,2/1874 (birthplace unknown),
Lew Holland,Lew,Holland,,,,R,P,NA,1923,1923,,
Crush Holloway,Crush,Holloway,"6'0""",180,B,R,RF,NA,1921,1939,"9/15/1896								 (Hillsboro, TX)","6/24/1972								 (Baltimore, MD)"
Holmes,NA,Holmes,,,,,2B,NA,1906,1906,,
Ben Holmes,Ben,Holmes,,,,,3B,NA,1887,1891,"4/3/1858								 (King and Queen County, VA)","5/11/1949								 (Washington, DC)"
Lefty Holmes,Lefty,Holmes,,,L,L,P,NA,1929,1940,,
Frog Holsey,Frog,Holsey,,,,,P,NA,1928,1932,1906 (birthplace unknown),
Dana Holt,Dana,Holt,,,R,,LF,NA,1922,1923,,
Eddie Holtz,Eddie,Holtz,,,R,R,SS,NA,1919,1924,"7/17/1899								 (Evansville, IN)","7/8/1924								 (St. Louis, MO)"
George Hopkins,George,Hopkins,,,,,2B,NA,1894,1909,1858 (birthplace unknown),
Reginald Hopwood,Reginald,Hopwood,,,,,LF,NA,1928,1928,"2/5/1906								 (Marlin, TX)","7/4/1984								 (Minneapolis, MN)"
Will Horn,Will,Horn,,,R,R,P,NA,1899,1910,,
Clyde Horne,Clyde,Horne,,,,,2B,NA,1925,1925,,
Horner,NA,Horner,,,,,SS,NA,1923,1923,,
Jesse Houston,Jesse,Houston,,,,R,P,NA,1936,1941,"1910								 (Montgomery, AL)",
Tick Houston,Tick,Houston,,,,R,2B,NA,1909,1920,,
Howard,NA,Howard,,,,R,3B,NA,1919,1926,,
Howard,NA,Howard,,,,,P,NA,1922,1922,,
Howard,NA,Howard,,,,,P,NA,1927,1927,,
Bill Howard,Bill,Howard,,,,L,P,NA,1932,1932,,
Carl Howard,Carl,Howard,"5'8""",172,R,R,-,P,1935,1945,"9/21/1904								 (Simmons Creek, WV)","2/12/1980								 (Roanoke, VA)"
Doc Howard,Doc,Howard,,,,,CF,NA,1897,1899,5/1873 (birthplace unknown),"8/14/1904								 (East Liverpool, OH)"
Nat Howard,Nat,Howard,,,,,P,NA,1929,1929,,
Telosh Howard,Telosh,Howard,,180,R,R,P,NA,1932,1939,"(Macon, GA)",
Henry Howell,Henry,Howell,,,,,3B,NA,1918,1919,,
Jesse Hubbard,Jesse,Hubbard,"6'2""",200,L,R,RF,NA,1919,1935,"7/18/1895								 (Bering, TX)","1/14/1982								 (Los Angeles, CA)"
Jim Hubbard,Jim,Hubbard,,,,,LF,NA,1907,1910,"1/1884								 (Bessemer, AL)","4/4/1932								 (Acmar, AL)"
C. Hubert,C.,Hubert,,,,,C,NA,1930,1930,,
Charles Hudson,Charles,Hudson,,,,R,P,NA,1923,1930,,
Robert Hudspeth,Robert,Hudspeth,"6'4""",200,L,L,1B,NA,1920,1932,"4/6/1894								 (Luling, TX)",8/2/1935 (death place unknown)
Eddie Huff,Eddie,Huff,,,,,C,NA,1922,1926,1903 (birthplace unknown),
Hughes,NA,Hughes,,,,,RF,NA,1921,1921,,
Charlie Hughes,Charlie,Hughes,"5'3""",146,R,R,2B,SS,1931,1938,"10/13/1906								 (Pittsburgh, PA)","3/24/1981								 (Pittsburgh, PA)"
Robert Hughes,Robert,Hughes,,,,R,P,NA,1931,1931,,
Sammy Hughes,Sammy,Hughes,"6'3""",192,R,R,2B,NA,1930,1946,"10/20/1910								 (Louisville, KY)","8/9/1981								 (Los Angeles, CA)"
Bert Hunter,Bert,Hunter,"5'9""",175,R,R,P,NA,1931,1944,"10/20/1910								 (Phoenix, AZ)","4/25/1948								 (Villahermosa, Mexico)"
Eugene Hunter,Eugene,Hunter,,,,,P,NA,1924,1924,,
Fred Hutchinson,Fred,Hutchinson,"5'9""",175,,R,SS,NA,1907,1925,"5/13/1886								 (Indianapolis, IN)","2/28/1954								 (Indianapolis, IN)"
Oscar Hutt,Oscar,Hutt,,,R,,1B,NA,1919,1926,3/1894 (birthplace unknown),
Cowan Hyde,Cowan,Hyde,"5'8""",155,R,R,RF,NA,1927,1948,"4/10/1907								 (Pontotoc, MS)","11/20/2003								 (St. Louis, MO)"
Harry Hyde,Harry,Hyde,,,,,3B,NA,1896,1907,"8/1869								 (Nashville, TN)",
Hynes,NA,Hynes,,,,,P,NA,1897,1897,,
Ingersoll,NA,Ingersoll,,,,,2B,NA,1905,1905,,
Alex Irwin,Alex,Irwin,,,,R,SS,NA,1905,1908,4/4/1881 (birthplace unknown),
K. B. Ivory,K. B.,Ivory,"5'8""",158,L,L,1B,-,1936,1937,"1916								 (Dyersburg, TN)",
Will Jackman,Will,Jackman,"6'3""",215,R,R,P,NA,1928,1936,"10/7/1895								 (Kyle, TX)","9/9/1972								 (Marion, MA)"
Jackson,NA,Jackson,,,,,C,NA,1931,1931,,
Jackson,NA,Jackson,,,,,P,NA,1910,1910,,
Jackson,NA,Jackson,,,,,P,SS,1936,1943,,
Jackson,NA,Jackson,,,,,P,3B,1936,1937,,
Jackson,NA,Jackson,,,,,C,NA,1926,1926,,
Jackson,NA,Jackson,,,,,LF,NA,1906,1906,,
Jackson,NA,Jackson,,,,,C,NA,1926,1926,,
Jackson,NA,Jackson,,,,,3B,NA,1932,1932,,
Jackson,NA,Jackson,,,,,C,NA,1913,1917,,
Andy Jackson,Andy,Jackson,,,,,3B,NA,1887,1899,"9/28/1865								 (Greenville, NJ)","5/15/1900								 (New York, NY)"
Ashes Jackson,Ashes,Jackson,,,,,SS,NA,1909,1912,,
Bozo Jackson,Bozo,Jackson,,,L,R,2B,NA,1933,1933,,
Charles Jackson,Charles,Jackson,,,,,P,NA,1908,1911,,
Dick Jackson,Dick,Jackson,"5'6""",,,R,2B,NA,1921,1931,"4/8/1897								 (Greenville, SC)","10/3/1939								 (Greenville, SC)"
Edgar Jackson,Edgar,Jackson,,,R,R,C,NA,1932,1932,,
George Jackson,George,Jackson,,,,,LF,NA,1887,1888,,
Guy Jackson,Guy,Jackson,,,,R,3B,NA,1909,1915,1882 (birthplace unknown),
Jack Jackson,Jack,Jackson,,,,,RF,NA,1928,1928,,
Jelly Jackson,Jelly,Jackson,"5'10""",165,R,R,SS,NA,1934,1945,"9/13/1909								 (Washington, DC)","2/14/1980								 (Washington, DC)"
Lefty Jackson,Lefty,Jackson,,,,L,P,NA,1931,1931,,
Lincoln Jackson,Lincoln,Jackson,"5'11""",145,R,R,1B,NA,1933,1934,"9/25/1907								 (Kansas City, MO)","11/1970								 (Philadelphia, PA)"
Matthew Jackson,Matthew,Jackson,,,,R,3B,NA,1932,1932,,
Oscar Jackson,Oscar,Jackson,,,,,LF,NA,1887,1898,,
Robert Jackson,Robert,Jackson,,,,,C,NA,1887,1899,,
Sam Jackson,Sam,Jackson,,,,,C,NA,1887,1887,,
Sam Jackson,Sam,Jackson,,,,,P,NA,1928,1928,,
Sanford Jackson,Sanford,Jackson,"5'6""",165,R,R,CF,NA,1923,1936,"1/10/1900								 (New Orleans, LA)","4/17/1984								 (Chicago, IL)"
Tom Jackson,Tom,Jackson,,,,R,P,NA,1926,1929,,
W. Jackson,W.,Jackson,,,,,3B,NA,1912,1912,,
Will Jackson,Will,Jackson,,,,L,LF,NA,1891,1906,,
Jagers,NA,Jagers,,,,,SS,NA,1923,1923,,
Gus James,Gus,James,,,,,2B,NA,1904,1912,1881 (birthplace unknown),
Knucks James,Knucks,James,,,R,R,2B,NA,1900,1918,"5/2/1878								 (Norfolk, VA)",
Tice James,Tice,James,"5'9""",150,R,R,SS,NA,1936,1946,"12/14/1914								 (Key West, FL)","3/13/1989								 (Wiggins, MS)"
John Jamieson,John,Jamieson,,,,,1B,NA,1919,1919,,
Donald Jarmon,Donald,Jarmon,"6'1""",172,,,P,NA,1933,1933,"4/30/1914								 (Kinston, NC)",
Horace Jarnigan,Horace,Jarnigan,"6'1""",169,,,RF,NA,1934,1934,"8/23/1909								 (Knoxville, TN)","11/1977								 (New Kensington, PA)"
John Jasper,John,Jasper,,,,,P,NA,1932,1932,,
Don Jefferson,Don,Jefferson,"5'7""",182,,,C,NA,1920,1921,"8/15/1895								 (Middleport, OH)","4/17/1994								 (Pittsburgh, PA)"
Ralph Jefferson,Ralph,Jefferson,"5'8""",171,R,,RF,NA,1920,1924,"7/7/1895								 (Hearne, TX)",
Harry Jeffries,Harry,Jeffries,,,R,R,3B,NA,1919,1935,,
Jim Jeffries,Jim,Jeffries,,,L,L,P,NA,1913,1928,"5/18/1893								 (Louisville, KY)","11/28/1938								 (Pulaski, TN)"
M. Jeffries,M.,Jeffries,,,,,2B,NA,1926,1926,,
Charlie Jemison,Charlie,Jemison,,,,,P,NA,1932,1935,"1903								 (Walker County, AL)",
Jenkins,NA,Jenkins,,,,,-,NA,1927,1927,,
Barney Jenkins,Barney,Jenkins,,,,,C,NA,1929,1929,,
Fats Jenkins,Fats,Jenkins,"5'7""",165,L,L,LF,NA,1920,1940,"1/10/1898								 (New York, NY)","12/4/1968								 (Philadelphia, PA)"
Horace Jenkins,Horace,Jenkins,"5'11""",180,,,CF,NA,1910,1921,"6/15/1891								 (Nashville, TN)","3/1/1962								 (Manteno, IL)"
M. Jenkins,M.,Jenkins,,,,,P,NA,1924,1924,,
Thurman Jennings,Thurman,Jennings,"5'2""",135,,R,2B,NA,1914,1921,"8/16/1890								 (Ripley, TN)","1/23/1978								 (Chicago, IL)"
W. Jessie,W.,Jessie,,,,,3B,NA,1887,1887,,
Jessop,NA,Jessop,,,,,3B,NA,1925,1925,,
Charles Jessup,Charles,Jessup,,,,,P,NA,1907,1909,4/18/1883 (birthplace unknown),
Bienvenido Jiménez,Bienvenido,Jiménez,"5'10""",,R,R,2B,NA,1915,1929,"3/22/1890								 (Cienfuegos, Cuba)",
Eusebio Jiménez,Eusebio,Jiménez,,,,R,3B,NA,1920,1922,"1897								 (Havana, Cuba)",
Johnson,NA,Johnson,,,,,P,NA,1931,1931,,
Johnson,NA,Johnson,,,,,-,NA,1922,1922,,
Johnson,NA,Johnson,,,,,P,NA,1915,1915,,
Johnson,NA,Johnson,,,,,C,NA,1929,1929,,
Johnson,NA,Johnson,,,,,RF,NA,1914,1914,,
Johnson,NA,Johnson,,,,,-,NA,1932,1932,,
Johnson,NA,Johnson,,,,,P,NA,1908,1908,,
Johnson,NA,Johnson,,,,,C,NA,1913,1913,,
Johnson,NA,Johnson,,,,,RF,NA,1928,1928,,
Johnson,NA,Johnson,,,,,C,NA,1934,1934,,
Johnson,NA,Johnson,,,,,2B,NA,1898,1898,,
Johnson,NA,Johnson,,,,,RF,NA,1916,1916,,
A. Johnson,A.,Johnson,,,,,C,NA,1916,1916,,
A. Johnson,A.,Johnson,,,,,C,NA,1922,1922,,
Al Johnson,Al,Johnson,,,,,P,NA,1936,1936,,
B. Johnson,B.,Johnson,,,,,CF,NA,1914,1914,,
Bert Johnson,Bert,Johnson,"6'0""",205,R,R,RF,LF,1932,1938,"11/4/1905								 (Round Rock, TX)","1/9/1976								 (Round Rock, TX)"
Bill Johnson,Bill,Johnson,"6'0""",185,B,R,C,NA,1920,1928,"11/21/1895								 (Sparta, GA)","10/26/1988								 (New York, NY)"
Bucky Johnson,Bucky,Johnson,,,,,SS,2B,1936,1939,,
Cannonball Johnson,Cannonball,Johnson,,,L,R,1B,NA,1919,1923,,
Cecil Johnson,Cecil,Johnson,"5'11""",193,,R,3B,NA,1918,1928,"2/9/1893								 (Wilmington, DE)","3/3/1977								 (Philadelphia, PA)"
Chappie Johnson,Chappie,Johnson,"5'7""",160,R,R,C,NA,1899,1922,"5/10/1877								 (Bellaire, OH)","8/17/1949								 (Clemson, SC)"
Claude Johnson,Claude,Johnson,"5'6""",165,R,R,2B,NA,1916,1930,"1/4/1894								 (Youngstown, OH)","1/5/1965								 (Youngstown, OH)"
Dicta Johnson,Dicta,Johnson,"5'7""",134,R,R,P,NA,1908,1923,"6/29/1887								 (Elizabethtown, IL)",
Frank Johnson,Frank,Johnson,,,,,LF,NA,1932,1932,,
George Johnson,George,Johnson,"6'1""",180,R,R,CF,NA,1918,1929,"4/20/1890								 (San Marcos, TX)","8/6/1940								 (Philadelphia, PA)"
Grant Johnson,Grant,Johnson,"5'10""",170,R,R,SS,NA,1897,1914,"9/23/1872								 (Findlay, OH)","9/4/1963								 (Buffalo, NY)"
Harry Johnson,Harry,Johnson,,,,,2B,NA,1888,1888,"5/1/1860								 (Burlington, NJ)",
Harry Johnson,Harry,Johnson,,,,,RF,NA,1914,1917,,
Heavy Johnson,Heavy,Johnson,"5'7""",200,R,R,RF,NA,1920,1932,"4/20/1895								 (Atchison, KS)","10/9/1960								 (Cleveland, OH)"
J. Johnson,J.,Johnson,,,,,1B,NA,1920,1920,,
Jack Johnson,Jack,Johnson,,,,,LF,NA,1922,1922,,
Jimmy Johnson,Jimmy,Johnson,,,,,SS,NA,1922,1934,,
John Wesley Johnson,John,Johnson,,,,,P,NA,1924,1930,,
Josh Johnson,Josh,Johnson,"6'1""",187,R,R,C,NA,1935,1940,"1/25/1914								 (Evergreen, AL)","8/12/1999								 (Springfield, IL)"
Judy Johnson,Judy,Johnson,"5'11""",150,R,R,3B,NA,1918,1936,"12/26/1899								 (Snow Hill, MD)","6/15/1989								 (Wilmington, DE)"
Lefty Johnson,Lefty,Johnson,,,,L,1B,NA,1930,1932,,
Monk Johnson,Monk,Johnson,"5'8""",140,,,LF,NA,1918,1926,"4/4/1894								 (South Orange, NJ)","11/14/1973								 (New York, NY)"
Nate Johnson,Nate,Johnson,,,,R,P,NA,1922,1923,,
Pearley Johnson,Pearley,Johnson,"5'6""",145,R,R,RF,NA,1926,1933,"1/1/1905								 (LaPlata, MD)","12/19/1991								 (Boston, MA)"
