player,firstname,lastname,ht,wt,b,t,pos1,pos2,debut,final,birth,death
Dennis Graham,Dennis,Graham,"5'11""",195,L,,RF,NA,1921,1931,"6/14/1896								 (Proctorville, NC)","12/2/1967								 (Pittsburgh, PA)"
Rabbit Granger,Rabbit,Granger,,,,,LF,NA,1908,1908,,
Art Grant,Art,Grant,,,,,C,NA,1922,1922,,
Charlie Grant,Charlie,Grant,"5'8""",160,R,R,2B,NA,1897,1913,"8/31/1877								 (Cincinnati, OH)","7/9/1932								 (Cincinnati, OH)"
Frank Grant,Frank,Grant,"5'7""",155,R,R,2B,NA,1891,1907,"8/1/1865								 (Pittsfield, MA)","5/27/1937								 (New York, NY)"
Leroy Grant,Leroy,Grant,"5'11""",174,R,R,1B,NA,1911,1924,"4/15/1889								 (Houston, TX)","5/7/1951								 (Logansport, IN)"
Bob Graves,Bob,Graves,,,,,P,NA,1932,1932,,
Gray,NA,Gray,,,,,C,NA,1922,1922,,
Abe Gray,Abe,Gray,,,,,C,NA,1931,1931,,
Chappie Gray,Chappie,Gray,,,,R,2B,NA,1920,1920,1900 (birthplace unknown),6/4/1972 (death place unknown)
Emerson Gray,Emerson,Gray,"6'0""",203,,,P,NA,1917,1917,"5/1/1895								 (Luray, VA)",
Jim Gray,Jim,Gray,,,,,3B,NA,1929,1929,,
William Gray,William,Gray,,,,,C,NA,1887,1888,,
Willie Gray,Willie,Gray,,,L,L,CF,NA,1920,1937,,
George Grayer,George,Grayer,,,,,1B,NA,1920,1921,"5/10/1894								 (Baltimore, MD)",
Green,NA,Green,,,,R,P,NA,1920,1920,,
Curtis Green,Curtis,Green,,,R,R,P,NA,1923,1928,,
George Green,George,Green,,,,,RF,NA,1919,1920,1884 (birthplace unknown),
Joe Green,Joe,Green,"5'9""",173,R,R,CF,NA,1902,1921,"7/26/1878								 (Chicago, IL)","9/18/1962								 (Chicago, IL)"
Julius Green,Julius,Green,,,,L,RF,NA,1929,1929,"6/25/1899								 (Galveston, TX)",
Pete Green,Pete,Green,"5'8""",,,,RF,NA,1912,1917,"1/1/1891								 (Charleston, SC)",1/1961 (death place unknown)
Willie Green,Willie,Green,,,,R,3B,NA,1915,1924,,
Willie Green,Willie,Green,,,,,C,NA,1910,1912,,
